Stego?;Entropy_img_full;Mean_entropy_slices;Stdev_entropy_slices;Mean_MarkovChains_00;Mean_MarkovChains_01;Mean_MarkovChains_10;Mean_MarkovChains_11;Stdev_MarkovChains_00;Stdev_MarkovChains_01;Stdev_MarkovChains_10;Stdev_MarkovChains_11;Mean_imgfull_MarkovChains_00;Mean_imgfull_MarkovChains_01;Mean_imgfull_MarkovChains_10;Mean_imgfull_MarkovChains_11;Conditional_Entropy_Slice_01;Conditional_Entropy_Slice_02;Conditional_Entropy_Slice_03;Conditional_Entropy_Slice_04;Conditional_Entropy_Slice_05;Conditional_Entropy_Slice_06;Conditional_Entropy_Slice_07;Conditional_Entropy_Slice_08;Conditional_Entropy_Slice_09;Conditional_Entropy_Slice_10;Conditional_Entropy_Slice_11;Conditional_Entropy_Slice_12;Conditional_Entropy_Slice_13;Conditional_Entropy_Slice_14;Conditional_Entropy_Slice_15;Conditional_Entropy_Slice_16;Conditional_Entropy_Slice_17;Conditional_Entropy_Slice_18;Conditional_Entropy_Slice_19;Conditional_Entropy_Slice_20;Conditional_Entropy_Slice_21;Conditional_Entropy_Slice_22;Conditional_Entropy_Slice_23;Conditional_Entropy_Slice_24;Conditional_Entropy_Slice_25;Conditional_Entropy_Slice_26;Conditional_Entropy_Slice_27;Conditional_Entropy_Slice_28;Conditional_Entropy_Slice_29;Conditional_Entropy_Slice_30;Conditional_Entropy_Slice_31;Conditional_Entropy_Slice_32;Conditional_Entropy_Slice_33;Conditional_Entropy_Slice_34;Conditional_Entropy_Slice_35;Conditional_Entropy_Slice_36;
yes;3.713453696081076;4.615698169730212;3.1024846549702447;0.7305245535714285;0.2694754464285714;0.12098214285714286;0.8790178571428572;0.16092003671045163;0.16092003671045163;0.1302850964201445;0.1302850964201445;0.5014492753623189;0.4985507246376812;0.03894927536231884;0.9610507246376812;2.3191490933513492;0.08447627485882592;0.08968773990888224;0.35024381532577786;0.41902018326400725;1.09085318132714;0.4140573488522552;0.016789329321984514;0.019497708743188902;0.006444376966178833;0.003701014694064586;0.19044407600298596;0.021054043251826915;0.035199790649480533;0.020274168802110193;0.010444732703588144;0.007072873698826143;0.17503110867068283;0.24353612318237783;0.055942111356902746;0.01754742104837481;0.022224456496923395;0.02523217696147073;0.21756576773461456;1.0341910164468229;0.15629731764421395;0.29607650895895343;0.05240355799883112;0.09451981406330967;0.6705583114800691;1.856385575915703;2.775783003317915;0.24787132212459495;0.6859343362190611;1.90814295102799;1.9796686754810449;
yes;4.897735284666632;7.530391142925991;1.5741850537745077;0.875;0.125;0.0;1.0;0.0;0.0;0.0;0.0;0.4723819019661714;0.5276180980338285;0.13131829829531494;0.8686817017046851;0.44092545275229167;0.0982063320162263;0.26734416301135244;0.17801010259065642;1.2444558178200298;2.028283828181079;1.2065758114863816;0.5245747571088186;0.21965536373469163;0.3392264089126966;0.37294991335345884;2.218920608710512;0.8359380940325476;0.5195751876853087;0.07216177877149299;0.06269246566984599;0.2135665620620184;2.119712770762176;0.15049727127267865;0.5692209807769899;0.09435552549585058;0.10286149898428398;0.2102003957032137;1.1463808370629822;0.41628058817302627;0.6533573362459442;0.29764626751754975;0.3915902932212463;0.14359814145182614;0.9031156242158467;0.5233868915366493;0.1513939559038766;0.38678196840462054;0.3561480856772121;0.5852909805595097;0.8162033302560623;
yes;4.831135617135884;6.982947694250137;1.5603950800696442;0.875;0.125;0.0;1.0;0.0;0.0;0.0;0.0;0.5003536067892503;0.49964639321074966;0.0033003300330033004;0.9966996699669967;2.249901331452163;1.892254896675246;1.7678184610012413;1.618643873879654;1.7060922643079768;1.5117246353951233;2.969552373561077;2.5607702804702455;1.4267030210926213;0.9117634927977312;0.9746407415699094;0.5480839280052576;2.8021733693913475;2.1023673588565877;1.9295984152284058;0.4252293431115657;0.6477279402402516;0.419379539037684;3.4712006601113163;2.933987997239303;2.8679643161888353;1.3335534846585215;0.42557594124057196;0.6990414764299437;2.3371892778309857;2.850976399218463;2.69499037222769;1.2276551859797662;0.9262721455041873;0.9226441157714937;2.2480416287200926;1.9825033133827734;2.104716954595928;1.58614635880335;1.118982133760972;1.8762618831311122;
yes;5.274454840122072;7.7264925204269534;0.8776252975925108;0.875;0.125;0.0;1.0;0.0;0.0;0.0;0.0;0.5003472222222223;0.4996527777777778;0.027083333333333334;0.9729166666666667;0.38023747763971016;0.5289132540634522;0.23701182625486883;0.02330121107809191;0.01083073837757631;0.3571480936812166;0.672019719146661;0.2223946464052693;0.021198992752010426;0.02764682710981159;0.04044792076847692;0.29967933473415;0.9631524652158947;0.06415331169312566;0.25285142868972077;0.07174923087621377;0.029639328840929124;0.030576576717955994;1.2208644866258571;0.1805901920174291;0.3142914658445144;0.15426055339000122;0.044568148300537125;0.034567989575473135;1.80468484595418;0.337527638000513;0.07630099800196444;0.06639195787990193;0.06374958593211932;0.04879598046559064;1.6839129800960277;0.14344486267117595;0.039837183119450614;0.13082565291621862;0.13890577392430803;0.24466189663498739;
yes;4.9456200519635125;7.891165862758804;0.4695391372848759;0.875;0.125;0.0;1.0;0.0;0.0;0.0;0.0;0.5;0.5;0.0;1.0;0.9547907840337411;0.5515137191234198;0.6907378831104531;0.4909455313982152;0.4009726103806024;0.309335584410225;0.6018046878526295;0.4769215505878339;0.3529088138505143;0.36090138174380737;0.2795198848232294;0.6014286852340747;0.5312419267879216;0.17586996800556598;0.04966455346366594;0.042870168264268926;0.15656281954706497;0.4018131648063261;0.2574247914495489;0.1733609265812257;0.05948917529036013;0.09009184178228402;0.1837958301206868;0.2974615985781641;0.5793760268798116;0.13322490078490468;0.1385696177779634;0.15401336880997096;0.26696312569783753;0.36865420333481325;0.3235955107372286;0.3195568880448114;0.31487247782625793;0.28447169792633265;0.3975924628832632;0.7940338173319557;
yes;5.119369255863917;8.60471199457747;0.3248547881518084;0.875;0.125;0.0;1.0;0.0;0.0;0.0;0.0;0.5;0.5;0.0;1.0;0.3424175365058435;0.22779520144581245;0.16247807675677084;0.09226679486207967;0.21836502428471416;0.16432617770419977;0.20639802503554794;0.25011862285553477;0.3106148675306377;0.34255168723382656;0.2883497801669277;0.14223001515327738;0.23604386929148813;0.21570878488993817;0.1854465193682442;0.25526904533466777;0.25974984539530066;0.1564777419222132;0.4736682374124159;0.15938162903237973;0.13337390169293695;0.12960316610624023;0.2658075259732131;0.2535864710143416;0.45691773014028847;0.45007354949764;0.24428103307583182;0.24134956639319416;0.1585109466926271;0.30184021645325476;0.14563299712193167;0.3136474189163323;0.16127857380594257;0.10971527204719145;0.13999708846385328;0.23483808352059654;
yes;4.76771888509851;5.2927665560928565;2.2154418337679376;0.875;0.125;0.0;1.0;0.0;0.0;0.0;0.0;0.4997857142857143;0.5002142857142857;0.09155735930735931;0.9084426406926407;2.7496736852823593;0.4497649244652555;0.4023041080931815;0.3572327412387297;0.7201794734562936;1.4911598174197107;0.7727650965328192;0.3870337857550812;0.3661383947434542;0.2926274987040598;0.3836446216025209;0.5765636662406317;1.5060451381711721;0.21971967933727488;0.22148750517407834;0.2374624507314973;0.2486234814476429;0.6113722036095655;2.1790084550898783;1.6866154522258814;0.6210099298765415;0.9141850499359232;1.6072096551021624;2.205779366039747;2.914947059644302;1.9903561017653515;1.3140575041906128;1.748739158905182;1.2054940117731205;1.8666310905007677;2.954189988998105;1.5420958644166323;1.7241944705338765;1.4659480057874807;0.17332941051740747;1.7660951487817962;
yes;4.926574178342389;6.829867168571052;1.6891244778240195;0.875;0.125;0.0;1.0;0.0;0.0;0.0;0.0;0.5;0.5;0.0;1.0;3.1453523245607804;1.810101095725582;1.5043011259074373;1.8859464352341497;2.0063445595424874;1.5556186833209802;2.365580084990635;1.441029447104479;1.2755657726315457;1.3538936388177092;1.4601073782402354;1.2822337425077652;1.9521162296232273;1.5647868743125626;0.29824071077321257;0.6174330537733397;1.5116778879268917;1.6741538756283596;1.8054156101672199;1.1012035361101473;0.2997157576192171;0.8187637525333908;2.0402470855038946;1.5774444254832334;1.6046993204397006;1.188701806462741;1.131271869385535;1.5983188217441682;1.8888823797598016;2.3309703120180685;3.138981963527079;1.80567935653213;1.4473160771362883;2.354246193154304;2.850104355897421;3.333142814609308;
yes;5.223202851980817;7.227461028166829;2.420431225548123;0.875;0.125;0.0;1.0;0.0;0.0;0.0;0.0;0.5155115511551155;0.4844884488448845;0.004050405040504051;0.995949594959496;3.1777905610477015;1.922338986945241;2.7957834230270056;3.7444666970588454;4.266916562980715;4.353650341604924;1.9344145543635793;0.5388749975715879;1.3868386022525243;1.6844275251745362;4.111397637430158;4.098892260269077;2.325179109486236;1.8097532769808344;1.6208457395343396;1.63201950758764;3.1704684168574997;3.488370409353056;2.8906551067991937;1.8047407271423497;1.9833283432987212;1.4967231945150843;1.8613331740812882;2.885857810063985;1.8466998052499237;1.3614930390037294;1.5122856620991492;1.4073710796162775;1.3099987946002933;1.645413796321428;1.2635497698595959;1.389033553132025;1.6422354708338895;1.7940815776531238;1.6367481812120523;1.4294151033864555;
yes;3.1907275275420828;3.972978740581802;3.286802476228034;0.6998325892857142;0.3001674107142857;0.12979910714285714;0.8702008928571429;0.1641271907068064;0.16412719070680637;0.11320746088072366;0.11320746088072366;0.5;0.5;0.0025188916876574307;0.9974811083123426;0.4820155161907884;0.03389688639361088;0.017431367518134788;0.02900990406377124;0.0821543276472072;0.6398006258499214;0.012798635987015583;0.010777798725907672;0.025387591163206213;0.02947383567331574;0.02564184196192487;0.016211268076756546;0.02058974880915576;0.023201643079167944;0.03503443042352439;0.030147448093685192;0.02269314148172885;0.011788217356462294;0.5426589836663318;0.01919795398052271;0.01844178614868941;0.030528824291764067;0.06561594213233146;0.9080008945385218;1.6325698029967923;0.5819469312494916;0.025222480340275855;0.24485406354427663;1.5546517407804958;0.38743978352109515;0.38743978352109515;1.3267201698408275;0.21468307277337306;0.44109880113060784;0.38743978352109515;0.38743978352109515;
