Stego?,Entropy_img_full,Mean_entropy_slices,Stdev_entropy_slices,Mean_MarkovChains_00,Mean_MarkovChains_01,Mean_MarkovChains_10,Mean_MarkovChains_11,Stdev_MarkovChains_00,Stdev_MarkovChains_01,Stdev_MarkovChains_10,Stdev_MarkovChains_11,Mean_imgfull_MarkovChains_00,Mean_imgfull_MarkovChains_01,Mean_imgfull_MarkovChains_10,Mean_imgfull_MarkovChains_11,Conditional_Entropy_Slice_01,Conditional_Entropy_Slice_02,Conditional_Entropy_Slice_03,Conditional_Entropy_Slice_04,Conditional_Entropy_Slice_05,Conditional_Entropy_Slice_06,Conditional_Entropy_Slice_07,Conditional_Entropy_Slice_08,Conditional_Entropy_Slice_09,Conditional_Entropy_Slice_10,Conditional_Entropy_Slice_11,Conditional_Entropy_Slice_12,Conditional_Entropy_Slice_13,Conditional_Entropy_Slice_14,Conditional_Entropy_Slice_15,Conditional_Entropy_Slice_16,Conditional_Entropy_Slice_17,Conditional_Entropy_Slice_18,Conditional_Entropy_Slice_19,Conditional_Entropy_Slice_20,Conditional_Entropy_Slice_21,Conditional_Entropy_Slice_22,Conditional_Entropy_Slice_23,Conditional_Entropy_Slice_24,Conditional_Entropy_Slice_25,Conditional_Entropy_Slice_26,Conditional_Entropy_Slice_27,Conditional_Entropy_Slice_28,Conditional_Entropy_Slice_29,Conditional_Entropy_Slice_30,Conditional_Entropy_Slice_31,Conditional_Entropy_Slice_32,Conditional_Entropy_Slice_33,Conditional_Entropy_Slice_34,Conditional_Entropy_Slice_35,Conditional_Entropy_Slice_36
1,2.85518373766961,4.113709682408,3.81139376960978,0.687109375,0.312890625,0.131138392857143,0.868861607142857,0.165351488748512,0.165351488748512,0.102419445283153,0.102419445283153,0.5,0.5,0,1,1.23665695287268,0.795197101696622,0.24062686933119,2.24966810539364,0.168483726919177,3.7747088405233,0.465326290994266,2.11030087820317,0.56905831310711,0.774029819182281,0.346515520867165,3.25314880111999,0.028000767177424,0.998801298208928,0.040014776725611,0.089323588027998,0.20026631265087,2.58931937032935,1.40670875818314,0.557876147407829,0.108493450732433,0.05503387262688,0.047308358095183,2.88937281319415,1.85963466417824,0.38604983854588,0.195473576293945,0.248184767202391,0.035655981532128,3.25394972890684,2.8957045724003,0.236854165812912,0.02919865503862,0.0825837917722,0.048994402997073,3.23105227763998
1,4.62327693475231,6.70246223599836,2.5864005554467,0.875,0.125,0,1,0,0,0,0,0.5,0.5,0,1,3.82600914217336,3.10135987541202,2.18281894831536,1.8005915973761,1.18107718807556,1.44846793409777,4.16232391819367,3.75788893907805,1.60788699490538,2.198146649413,1.75551023744515,0.857412172022522,3.80659492052177,4.12956188026328,1.51307830632696,1.22021103572529,0.934043893022039,0.437277992767357,3.43651509637339,3.56169084609332,1.90167712643573,0.460192777728206,1.37891776316671,0.96266540945037,1.44442316489253,1.11271264377551,1.21199850492826,0.686347879941823,1.45800862807021,1.43886376678605,3.50377570680399,2.19731789204253,0.355622596420631,0.995413723903542,1.53538739710408,1.67949074014371
1,4.99495605726191,8.11918670649787,0.908494825624393,0.875,0.125,0,1,0,0,0,0,0.5,0.5,0,1,2.44415782724245,2.24703518900491,2.39465478151911,1.94138364966292,2.20909748194085,2.24217095334473,1.89139463479577,0.960221379797776,1.12230757968467,1.19808590563082,1.91679342803064,1.15934715681717,1.3587008832789,1.32871336011332,1.26815973789081,1.18937406215515,1.50079372782868,1.35524337110888,2.57664186706909,2.26685544404511,1.35695018106396,1.0757858819989,2.37154263623719,1.51300563020942,2.42790382608313,2.06535133464935,2.34970023783084,1.8411660120839,2.61542726600737,2.37194581968741,2.50365814770603,2.39037191403172,2.11946723743647,1.75020579050679,1.88428788335616,1.73688910749654
1,4.91367068937419,6.27710837453268,1.33111895265011,0.875,0.125,0,1,0,0,0,0,0.5,0.5,0,1,1.6519180249782,1.51966353965521,0.93372171534366,0.869241747028359,1.54151671792174,2.03103855922089,0.772310325393069,0.477587236521346,0.22153594512598,0.200249970762766,0.308418686611702,0.799963755849761,0.502444092229495,0.311218172965917,0.144544466806807,0.141930377582938,0.212204922890928,0.414602283445384,1.29823623293068,0.871781863686493,0.298259228279197,0.31276044182853,0.363493297162941,0.90738959810021,1.28232968811745,0.457703430953937,0.323120405113451,0.844460851430305,1.0993763830442,1.22399208364703,2.52621131550024,1.17748711957119,0.52251252357945,0.896844340739244,0.994642754512907,1.33117802275013
1,5.2851177245597,8.6644201697914,1.20226689696722,0.685825892857143,0.314174107142857,0.216183035714286,0.783816964285714,0.124976461583577,0.124976461583577,0.11071697156789,0.11071697156789,0.5,0.5,0,1,1.87677057526868,2.62167191924686,2.51754732724197,1.79060232277506,2.44906413517828,2.81982587862241,1.1085712319715,1.74490145833138,1.08741716173108,1.38999264844839,2.5061742288913,2.34551867931934,1.43347738141683,1.93668657910119,1.32431953014732,1.23564746585871,2.20294528567728,1.83587072678533,1.24731869492191,1.46120328733611,1.52580469129679,1.51910406716358,2.33008636373077,1.54161792249981,1.39265408178387,1.62580874480661,1.5392469420435,1.55177395374586,2.1030244327243,1.50019546889847,2.06194369029344,2.4782908121687,0.941142474044242,1.00253591019393,2.34264843490498,2.51407529086819
1,5.47853899166149,8.17082807011653,0.382406605018489,0.875,0.125,0,1,0,0,0,0,0.50568430990306,0.49431569009694,0.131038828580189,0.868961171419811,0.139851904595035,0.071342169547755,0.353923611222889,0.268899906653721,0.093077514366688,0.242212885200278,0.143751350744939,0.365222774437507,1.03046482550065,0.661551909688808,0.171417623951323,0.430196608708318,0.058586209038451,0.078697900959963,0.165136371799052,0.390454826945871,0.139006835576745,0.231514486522204,0.125757192701319,0.065791388139643,0.259829998813803,0.438411861486467,0.226620947610209,0.259986658497015,0.088259510114598,0.257063521691757,0.478127562688856,0.029142872602567,0.148806757369499,0.171434639217159,0.107880472093099,0.156760196998412,0.45426597139523,0.039983557508589,0.311186790046212,0.198638169410212
1,4.87404053169455,5.80153242463078,1.73732216704815,0.875,0.125,0,1,0,0,0,0,0.5,0.5,0,1,3.02376419324302,2.31854794086348,1.52155722565247,1.97344426078142,1.86335007289108,3.02245643059173,2.91033813828507,0.572904459497457,0.810683687256962,0.948972738301907,1.0458033868555,2.36160660999931,2.54090894150767,0.803471321254849,0.569832046961346,0.992967066919005,0.825002992306955,1.76518950700201,1.24963344575439,1.10661298544088,0.44986903921956,0.430548560785176,1.02288503922687,3.31882833868018,1.26053774718583,0.720347149038661,0.320185052811044,1.03085673343479,1.29425220121276,2.41934885482686,0.943922498953083,0.803572971852066,0.818188235946863,1.35775903294144,1.14170350569962,1.87638086872811
1,5.00740827942706,8.67991848211143,0.609387519877616,0.875,0.125,0,1,0,0,0,0,0.5,0.5,0,1,1.19186909095125,1.3464050090958,1.9617740574644,1.37723495044835,1.10246458379669,1.02290300144718,0.895576171793544,1.12264213862147,1.21688517492603,1.00946666882819,0.904267678426937,0.922092366804054,0.971321619418514,1.13334131911187,1.29439595784566,0.523598823607179,0.244699626088689,0.640958233661417,0.810186172820856,1.26883354830624,0.893055806583901,0.51289651263631,0.37201636549791,0.664106252974865,0.809947208818671,1.363663539806,1.25333451699909,0.579803291432222,0.588330947951166,0.83333801752769,1.20946070817522,1.48670810110281,0.931050169139778,0.82852921207971,0.87144436299188,1.28176690645143
1,4.68285706981315,5.59352579465555,1.68424004278898,0.875,0.125,0,1,0,0,0,0,0.518464599126364,0.481535400873636,0.064345422608487,0.935654577391513,1.26844866886712,0.474858176197607,0.576907109761255,0.836876882997569,1.85921603671988,1.6732196429696,1.2532247762192,1.38062222257853,0.917414102868309,0.446031707581441,0.617168031601646,1.43347542183057,0.518237289362981,0.235325423640955,0.335437648550441,0.228321208874906,0.107059283898685,0.887803413199948,0.610243996233026,0.079915019528205,0.158352123116841,0.113232280135016,0.100946302804224,1.1562057976228,0.603759740691065,0.102628282921024,0.096979847448529,0.07177604584519,0.044444632913857,1.1266497385906,1.70709226046142,0.904650504023227,1.16687785307597,0.705696258080248,1.31281388288335,1.51774200119953
1,5.18318751332002,7.18086696120641,0.831678950441795,0.875,0.125,0,1,0,0,0,0,0.5,0.5,0,1,0.510816645006338,0.693359616206385,0.747243013590611,0.492959965002267,0.423223219494463,0.575710906319254,0.251397824186025,0.252918743114497,0.466865057644997,0.253517914315201,0.388006068990049,0.39057761023197,0.183783548968446,0.249687584427601,0.26800039660717,0.05603047054909,0.080777274353214,0.133099642459932,0.135265658407139,0.194018389651932,0.047737924600237,0.075595579536088,0.096130069196121,0.02216385025217,0.041334414013189,0.013344502328374,0.013444972402061,0.073868340606764,0.275618217992565,0.01876868346627,0.195698878477994,0.107925317267712,0.074838662931862,0.071515617536948,0.084569117503997,0.050419947490196
