Stego?,Entropy_img_full,Mean_entropy_slices,Stdev_entropy_slices,Mean_MarkovChains_00,Mean_MarkovChains_01,Mean_MarkovChains_10,Mean_MarkovChains_11,Stdev_MarkovChains_00,Stdev_MarkovChains_01,Stdev_MarkovChains_10,Stdev_MarkovChains_11,Mean_imgfull_MarkovChains_00,Mean_imgfull_MarkovChains_01,Mean_imgfull_MarkovChains_10,Mean_imgfull_MarkovChains_11
1,2.85518373766961,4.113709682408,3.81139376960978,0.687109375,0.312890625,0.131138392857143,0.868861607142857,0.165351488748512,0.165351488748512,0.102419445283153,0.102419445283153,0.5,0.5,0,1
1,4.62327693475231,6.70246223599836,2.5864005554467,0.875,0.125,0,1,0,0,0,0,0.5,0.5,0,1
1,4.99495605726191,8.11918670649787,0.908494825624393,0.875,0.125,0,1,0,0,0,0,0.5,0.5,0,1
1,4.91367068937419,6.27710837453268,1.33111895265011,0.875,0.125,0,1,0,0,0,0,0.5,0.5,0,1
1,5.2851177245597,8.6644201697914,1.20226689696722,0.685825892857143,0.314174107142857,0.216183035714286,0.783816964285714,0.124976461583577,0.124976461583577,0.11071697156789,0.11071697156789,0.5,0.5,0,1
1,5.47853899166149,8.17082807011653,0.382406605018489,0.875,0.125,0,1,0,0,0,0,0.50568430990306,0.49431569009694,0.131038828580189,0.868961171419811
1,4.87404053169455,5.80153242463078,1.73732216704815,0.875,0.125,0,1,0,0,0,0,0.5,0.5,0,1
1,5.00740827942706,8.67991848211143,0.609387519877616,0.875,0.125,0,1,0,0,0,0,0.5,0.5,0,1
1,4.68285706981315,5.59352579465555,1.68424004278898,0.875,0.125,0,1,0,0,0,0,0.518464599126364,0.481535400873636,0.064345422608487,0.935654577391513
1,5.18318751332002,7.18086696120641,0.831678950441795,0.875,0.125,0,1,0,0,0,0,0.5,0.5,0,1
1,4.95865651434858,6.47386504532301,1.11136885110973,0.875,0.125,0,1,0,0,0,0,0.5,0.5,0,1
1,5.40271792882536,7.82299844484149,0.577436066902653,0.875,0.125,0,1,0,0,0,0,0.513572026379649,0.486427973620351,0.041653601787122,0.958346398212878
1,5.44886085403363,8.6161185767928,0.42746431989082,0.875,0.125,0,1,0,0,0,0,0.511650485436893,0.488349514563107,0.017529665587918,0.982470334412082
1,5.20742930904587,6.66124345026025,1.36885441681874,0.875,0.125,0,1,0,0,0,0,0.5,0.5,0,1
1,3.71345369608108,4.61569816973021,3.10248465497024,0.730524553571429,0.269475446428571,0.120982142857143,0.879017857142857,0.160920036710452,0.160920036710452,0.130285096420144,0.130285096420144,0.501449275362319,0.498550724637681,0.038949275362319,0.961050724637681
1,4.89773528466663,7.53039114292599,1.57418505377451,0.875,0.125,0,1,0,0,0,0,0.472381901966171,0.527618098033829,0.131318298295315,0.868681701704685
