Stego?,Entropy_img_full,Mean_entropy_slices,Stdev_entropy_slices,Mean_MarkovChains_00,Mean_MarkovChains_01,Mean_MarkovChains_10,Mean_MarkovChains_11,Stdev_MarkovChains_00,Stdev_MarkovChains_01,Stdev_MarkovChains_10,Stdev_MarkovChains_11,Mean_imgfull_MarkovChains_00,Mean_imgfull_MarkovChains_01,Mean_imgfull_MarkovChains_10,Mean_imgfull_MarkovChains_11
1,5.05078077658163,6.76458197405822,0.645220553408307,0.875,0.125,0,1,0,0,0,0,0.5,0.5,0,1
1,5.37736184561899,7.77665816622871,1.06082944758709,0.875,0.125,0,1,0,0,0,0,0.5,0.5,0.003333333333333,0.996666666666667
1,5.05945586260631,6.05891262141851,1.36469466111269,0.875,0.125,0,1,0,0,0,0,0.5,0.5,0,1
1,5.26403990489046,8.54282549406217,0.7874215502877,0.875,0.125,0,1,0,0,0,0,0.5,0.5,0.000721500721501,0.999278499278499
1,5.23848107745945,7.38439507992041,0.875794660304832,0.875,0.125,0,1,0,0,0,0,0.5,0.5,0,1
1,4.58485906845783,6.27830297894923,3.09138457181276,0.875,0.125,0,1,0,0,0,0,0.5,0.5,0,1
1,5.43324368418162,8.03575281483193,0.711816028330531,0.875,0.125,0,1,0,0,0,0,0.505061406557757,0.494938593442243,0.101824748244456,0.898175251755544
1,5.27463415074632,6.77615659032298,2.12513592614625,0.875,0.125,0,1,0,0,0,0,0.501176470588235,0.498823529411765,0.042453781512605,0.957546218487395
1,5.21865437087742,6.66083189574577,0.726606672179575,0.875,0.125,0,1,0,0,0,0,0.508563899868248,0.491436100131752,0.060116694899304,0.939883305100696
1,5.29538127274869,8.01131814264039,1.56240849149828,0.875,0.125,0,1,0,0,0,0,0.5,0.5,0.000606060606061,0.999393939393939
1,5.30184966311692,7.74228712412564,1.11655045210599,0.875,0.125,0,1,0,0,0,0,0.5,0.5,0,1
1,5.27514745954795,6.13246244547409,1.52616135422421,0.875,0.125,0,1,0,0,0,0,0.5,0.5,0,1
1,5.44999326466742,8.26032690915761,1.02675203198988,0.875,0.125,0,1,0,0,0,0,0.507487359004278,0.492512640995721,0.012154803578374,0.987845196421626
1,5.25258923214742,6.46392416585598,1.45115117652956,0.875,0.125,0,1,0,0,0,0,0.53202471182695,0.46797528817305,0.0727732098947,0.9272267901053
1,5.47297163909099,6.86602618260657,0.772192695343473,0.875,0.125,0,1,0,0,0,0,0.593739633600587,0.406260366399413,0.301868332502135,0.698131667497865
1,4.80986418859884,6.39838277739781,3.27004680490999,0.867020089285714,0.132979910714286,0.015625,0.984375,0.040434863793934,0.040434863793934,0.075527247264581,0.075527247264581,0.5,0.5,0,1
1,5.29845933058632,8.09836584941007,0.585221988444786,0.875,0.125,0,1,0,0,0,0,0.5,0.5,0,1
1,5.15240638185382,8.77345416089448,1.57663235979563,0.875,0.125,0,1,0,0,0,0,0.5,0.5,0,1
1,5.27718793943446,7.63211669055368,2.2342013630927,0.875,0.125,0,1,0,0,0,0,0.500312402374258,0.499687597625742,0.007497656982193,0.992502343017807
1,5.25341673714679,8.23713798688882,1.17636400231552,0.875,0.125,0,1,0,0,0,0,0.500583333333333,0.499416666666667,0.00225,0.99775
1,5.37900059187226,7.48163303837871,0.827795868740056,0.875,0.125,0,1,0,0,0,0,0.519791666666667,0.480208333333333,0.100868055555556,0.899131944444444
1,4.81306227434724,6.77517443140096,1.92740242833767,0.875,0.125,0,1,0,0,0,0,0.5,0.5,0,1
1,5.21500490120071,6.84044511190772,2.01809924504575,0.875,0.125,0,1,0,0,0,0,0.5,0.5,0.000625,0.999375
1,4.93740807359971,7.45233233227499,2.3375302249437,0.875,0.125,0,1,0,0,0,0,0.5,0.5,0,1
1,5.13684732531049,8.0624177930989,1.0091190425021,0.867466517857143,0.132533482142857,0.0234375,0.9765625,0.034238897005434,0.034238897005434,0.106521012905793,0.106521012905793,0.5,0.5,0.001831501831502,0.998168498168498
0,5.44851940634639,7.09486797892423,1.36173021461093,0.86953125,0.13046875,0.0078125,0.9921875,0.035486625582578,0.035486625582578,0.043842023400763,0.043842023400763,0.5,0.5,0.001267636684303,0.998732363315697
0,4.80497320759184,7.09389671815855,0.561396570826114,875,125,0,1,0,0,0,0,0.473171296296296,0.526828703703704,0.05882409325424,0.94117590674576
0,4.8941673062377,6.40554393313072,1.53859596320413,875,125,0,1,0,0,0,0,0.5,0.5,0,1
0,5.43364351390255,7.34806608889603,1.75401509942277,0.848828125,0.151171875,0.03515625,0.96484375,0.075254816791996,0.075254816791996,0.087595611028342,0.087595611028342,0.5,0.5,0,1
0,5.17914149881935,6.11838051644647,1.00877085455073,875,125,0,1,0,0,0,0,0.5,0.5,0,1
0,5.14379438309765,6.39586069022359,1.577193517243,875,125,0,1,0,0,0,0,0.5,0.5,0,1
