Stego?,Entropy_img_full,Mean_entropy_slices,Stdev_entropy_slices,Mean_MarkovChains_00,Mean_MarkovChains_01,Mean_MarkovChains_10,Mean_MarkovChains_11,Stdev_MarkovChains_00,Stdev_MarkovChains_01,Stdev_MarkovChains_10,Stdev_MarkovChains_11,Mean_imgfull_MarkovChains_00,Mean_imgfull_MarkovChains_01,Mean_imgfull_MarkovChains_10,Mean_imgfull_MarkovChains_11
1,4.937408074,7.452332332,2.337530225,0.875,0.125,0,1,0,0,0,0,0.5,0.5,0,1
1,5.136847325,8.062417793,1.009119043,0.867466518,0.132533482,0.0234375,0.9765625,0.034238897,0.034238897,0.106521013,0.106521013,0.5,0.5,0.001831502,0.998168498
1,5.329167354,8.377267592,0.259079497,0.875,0.125,0,1,0,0,0,0,0.519678898,0.480321102,0.187926647,0.812073353
1,5.381241634,8.915551106,0.917557823,0.875,0.125,0,1,0,0,0,0,0.499855072,0.500144928,0.01,0.99
1,5.422594281,9.036857824,1.012616804,0.875,0.125,0,1,0,0,0,0,0.50267883,0.49732117,0.02143064,0.97856936
1,5.25923611,8.58790171,0.231123984,0.875,0.125,0,1,0,0,0,0,0.5,0.5,0,1
1,5.375597226,10.12933096,2.177211121,0.875,0.125,0,1,0,0,0,0,0.5,0.5,0,1
1,5.365890461,9.032785417,0.269287026,0.875,0.125,0,1,0,0,0,0,0.5,0.5,0,1
1,5.37559676,10.12936814,2.177215727,0.875,0.125,0,1,0,0,0,0,0.5,0.5,0,1
1,5.259234174,8.588104248,0.231139624,0.875,0.125,0,1,0,0,0,0,0.5,0.5,0,1
1,5.246577778,7.424337243,1.368326582,0.875,0.125,0,1,0,0,0,0,0.491271109,0.508728891,0.214282465,0.785717535
1,3.336294802,5.096548637,3.752111294,0.869233631,0.130766369,0.013020833,0.986979167,0.032636476,0.032636476,0.074563323,0.074563323,0.5,0.5,0,1
1,5.228924262,6.622302341,0.313327922,0.998755362,0.001244638,0.0078125,0.9921875,0.000153186,0.000153186,0.0625,0.0625,0.5,0.5,0.002777778,0.997222222
1,5.399122587,7.192031741,0.587231895,0.875,0.125,0,1,0,0,0,0,0.481434386,0.518565614,0.02820891,0.97179109
1,5.296348968,8.826354282,0.372684542,0.875,0.125,0,1,0,0,0,0,0.5,0.5,0,1
1,4.811705028,6.527748191,1.615085398,0.875,0.125,0,1,0,0,0,0,0.502293578,0.497706422,0.034785933,0.965214067
1,5.408387442,6.123806493,1.034901343,0.875,0.125,0,1,0,0,0,0,0.502278646,0.497721354,0.057161458,0.942838542
1,5.361475152,6.404518556,0.404913736,0.972751991,0.022001379,0.028271411,0.89322505,0.119325353,0.095968153,0.166616555,0.291917115,0.494074074,0.505925926,0.140462963,0.859537037
1,5.38124408,8.915556457,0.917533222,0.875,0.125,0,1,0,0,0,0,0.499855072,0.500144928,0.01,0.99
1,5.422600361,9.036623865,1.013354088,0.875,0.125,0,1,0,0,0,0,0.50267883,0.49732117,0.021865045,0.978134955
1,5.375598979,10.12936069,2.17727919,0.875,0.125,0,1,0,0,0,0,0.5,0.5,0,1
1,5.334011488,7.454972022,1.799776558,0.875,0.125,0,1,0,0,0,0,0.504351687,0.495648313,0.109240464,0.890759536
1,5.365918312,9.032971705,0.269464575,0.875,0.125,0,1,0,0,0,0,0.5,0.5,0,1
1,4.664077791,5.321328861,1.854318592,0.862109375,0.137890625,0.01171875,0.98828125,0.058586557,0.058586557,0.053260506,0.053260506,0.51762606,0.48237394,0.073293173,0.926706827
1,3.931182806,5.868916304,3.679298005,0.875,0.125,0,1,0,0,0,0,0.970880619,0.029119381,0.180247986,0.819752014
1,5.246671191,7.424425221,1.368390416,0.875,0.125,0,1,0,0,0,0,0.4919253,0.5080747,0.212651424,0.787348576
1,4.922808939,6.781437204,2.670020527,0.875,0.125,0,1,0,0,0,0,0.5,0.5,0,1
0,3.77496066095397,5.91717044649651,4.01741116609125,0.724051339285714,0.275948660714286,0.121651785714286,0.878348214285714,0.160853734144611,0.160853734144611,0.118146033279946,0.118146033279946,0.5,0.5,0,1
0,5.50964481926675,9.34109618019325,0.134223160054583,0.872488839285714,0.127511160714286,0.0078125,0.9921875,0.020089285714286,0.020089285714286,0.0625,0.0625,0.500231481481481,0.499768518518519,0.002777777777778,0.997222222222222
0,4.99020580626059,7.92456645557116,0.194796283708857,875,125,0,1,0,0,0,0,0.503842592592593,0.496157407407407,0.14537037037037,0.85462962962963
0,4.30686609028848,4.94124339912009,1.89232772198983,875,125,0,1,0,0,0,0,0.5,0.5,0,1
0,5.37479863587971,6.60280306963766,0.32193928537958,0.998908972602727,0.001091027397273,0.026041666666667,0.973958333333333,0.000311026592564,0.000311026592564,0.11959200925333,0.11959200925333,0.501706484641638,0.498293515358362,0.005119453924915,0.994880546075085
0,3.46098653923872,5.33538401491057,3.76619657339037,0.709430803571429,0.290569196428571,0.142299107142857,0.857700892857143,0.161728804930182,0.161728804930182,0.12115351458798,0.121153514587979,0.5,0.5,0,1
0,5.32679168238705,7.17230507441791,1.06326438224574,875,125,0,1,0,0,0,0,0.501424501424501,0.498575498575499,0.002849002849003,0.997150997150997
0,5.26097697420467,9.62570664977243,0.677790247430662,875,125,0,1,0,0,0,0,0.5,0.5,0,1
0,5.29407851472153,8.87942887376149,0.382906102624662,875,125,0,1,0,0,0,0,0.511436950146628,0.488563049853372,0.071065493646139,0.928934506353861
0,5.14308518727559,7.0654239408709,2.18007363676843,875,125,0,1,0,0,0,0,0.5,0.5,0,1
0,5.18166959296137,6.16335402284305,1.89578378095492,875,125,0,1,0,0,0,0,0.501086956521739,0.498913043478261,0.037516469038208,0.962483530961792
0,5.21151302868566,8.50920806407538,1.07866426534941,875,125,0,1,0,0,0,0,0.5,0.5,0,1
0,2.25260165534148,2.74318726893731,2.13895045856723,875,125,0,1,0,0,0,0,0.973571797425609,0.026428202574391,0.317142560669929,0.682857439330071
0,5.35950396573725,7.65018651655914,1.01732122366482,875,125,0,1,0,0,0,0,0.5,0.5,0,1
0,5.08399027438254,5.57684443436023,1.62948264601064,875,125,0,1,0,0,0,0,0.500555555555555,0.499444444444445,0.003333333333333,0.996666666666667
0,5.37895907072497,9.33675127881361,0.599101639413298,0.873828125,0.126171875,0.00390625,0.99609375,0.009375,0.009375,0.03125,0.03125,0.502846441947566,0.497153558052434,0.011797752808989,0.988202247191011
0,5.10039034921854,9.08178817129371,0.572075395948673,875,125,0,1,0,0,0,0,0.50109126984127,0.49890873015873,0.01031746031746,0.98968253968254
0,5.25754730727922,9.15508472885989,0.581489576064633,875,125,0,1,0,0,0,0,0.5,0.5,0,1
0,5.38200522889562,6.56895355395802,1.82510660093707,0.873828125,0.126171875,0.00390625,0.99609375,0.009375,0.009375,0.03125,0.03125,0.496270461309524,0.503729538690476,0.135667162698413,0.864332837301587
0,5.06619231653431,9.34736132470048,0.419628908612239,875,125,0,1,0,0,0,0,0.5,0.5,0,1
0,5.19618224033182,10.0077493677822,0.296239283912791,875,125,0,1,0,0,0,0,0.5,0.5,0,1
0,5.3901182555609,7.34179370971281,1.60244169874829,875,125,0,1,0,0,0,0,0.5,0.5,0,1
0,2.66115078514175,3.11532739446894,2.34628626874994,0.76171875,0.23828125,0.097098214285714,0.902901785714286,0.1520996403521,0.1520996403521,0.110302751715255,0.110302751715255,0.5,0.5,0,1
0,3.6089388039836,4.57008253248203,3.63813338014595,0.753515625,0.246484375,0.107142857142857,0.892857142857143,0.153585919512887,0.153585919512887,0.111313388924854,0.111313388924854,0.500325520833333,0.499674479166667,0.0029296875,0.9970703125
0,5.43368385561592,9.28649763144468,0.123233932653579,875,125,0,1,0,0,0,0,0.501344086021505,0.498655913978495,0.011424731182796,0.988575268817204
0,5.44851940634639,7.09486797892423,1.36173021461093,0.86953125,0.13046875,0.0078125,0.9921875,0.035486625582578,0.035486625582578,0.043842023400763,0.043842023400763,0.5,0.5,0.001267636684303,0.998732363315697
