Stego?,Entropy_img_full,Mean_entropy_slices,Stdev_entropy_slices
1,2.855183738,4.113709682,3.81139377
1,4.623276935,6.702462236,2.586400555
1,4.994956057,8.119186706,0.908494826
1,4.913670689,6.277108375,1.331118953
1,5.285117725,8.66442017,1.202266897
1,5.478538992,8.17082807,0.382406605
1,4.874040532,5.801532425,1.737322167
1,5.007408279,8.679918482,0.60938752
1,4.68285707,5.593525795,1.684240043
1,5.183187513,7.180866961,0.83167895
1,4.958656514,6.473865045,1.111368851
1,5.402717929,7.822998445,0.577436067
1,5.448860854,8.616118577,0.42746432
1,5.207429309,6.66124345,1.368854417
1,3.713453696,4.61569817,3.102484655
1,4.897735285,7.530391143,1.574185054
1,4.831135617,6.982947694,1.56039508
1,5.27445484,7.72649252,0.877625298
1,4.945620052,7.891165863,0.469539137
1,5.119369256,8.604711995,0.324854788
1,4.767718885,5.292766556,2.215441834
1,4.926574178,6.829867169,1.689124478
1,5.223202852,7.227461028,2.420431226
1,3.190727528,3.972978741,3.286802476
1,3.190522587,3.975273443,3.286729141
1,5.050780777,6.764581974,0.645220553
1,5.377361846,7.776658166,1.060829448
1,5.059455863,6.058912621,1.364694661
1,5.264039905,8.542825494,0.78742155
1,5.238481077,7.38439508,0.87579466
1,4.584859068,6.278302979,3.091384572
1,5.433243684,8.035752815,0.711816028
1,5.274634151,6.77615659,2.125135926
1,5.218654371,6.660831896,0.726606672
1,5.295381273,8.011318143,1.562408491
1,5.301849663,7.742287124,1.116550452
1,5.27514746,6.132462445,1.526161354
1,5.449993265,8.260326909,1.026752032
1,5.252589232,6.463924166,1.451151177
1,5.472971639,6.866026183,0.772192695
1,4.809864189,6.398382777,3.270046805
1,5.298459331,8.098365849,0.585221988
1,5.152406382,8.773454161,1.57663236
1,5.277187939,7.632116691,2.234201363
1,5.253416737,8.237137987,1.176364002
1,5.379000592,7.481633038,0.827795869
1,4.813062274,6.775174431,1.927402428
1,5.215004901,6.840445112,2.018099245
1,4.937408074,7.452332332,2.337530225
1,5.136847325,8.062417793,1.009119043
1,5.329167354,8.377267592,0.259079497
1,5.381241634,8.915551106,0.917557823
1,5.422594281,9.036857824,1.012616804
1,5.25923611,8.58790171,0.231123984
1,5.375597226,10.12933096,2.177211121
1,5.365890461,9.032785417,0.269287026
1,5.37559676,10.12936814,2.177215727
1,5.259234174,8.588104248,0.231139624
1,5.246577778,7.424337243,1.368326582
1,3.336294802,5.096548637,3.752111294
1,5.228924262,6.622302341,0.313327922
1,5.399122587,7.192031741,0.587231895
1,5.296348968,8.826354282,0.372684542
1,4.811705028,6.527748191,1.615085398
1,5.408387442,6.123806493,1.034901343
1,5.361475152,6.404518556,0.404913736
1,5.38124408,8.915556457,0.917533222
1,5.422600361,9.036623865,1.013354088
1,5.375598979,10.12936069,2.17727919
1,5.334011488,7.454972022,1.799776558
1,5.365918312,9.032971705,0.269464575
1,4.664077791,5.321328861,1.854318592
1,3.931182806,5.868916304,3.679298005
1,5.246671191,7.424425221,1.368390416
1,4.922808939,6.781437204,2.670020527
0,3.77496066095397,5.91717044649651,4.01741116609125
0,5.50964481926675,9.34109618019325,0.134223160054583
0,4.99020580626059,7.92456645557116,0.194796283708857
0,4.30686609028848,4.94124339912009,1.89232772198983
0,5.37479863587971,6.60280306963766,0.32193928537958
0,3.46098653923872,5.33538401491057,3.76619657339037
0,5.32679168238705,7.17230507441791,1.06326438224574
0,5.26097697420467,9.62570664977243,0.677790247430662
0,5.29407851472153,8.87942887376149,0.382906102624662
0,5.14308518727559,7.0654239408709,2.18007363676843
0,5.18166959296137,6.16335402284305,1.89578378095492
0,5.21151302868566,8.50920806407538,1.07866426534941
0,2.25260165534148,2.74318726893731,2.13895045856723
0,5.35950396573725,7.65018651655914,1.01732122366482
0,5.08399027438254,5.57684443436023,1.62948264601064
0,5.37895907072497,9.33675127881361,0.599101639413298
0,5.10039034921854,9.08178817129371,0.572075395948673
0,5.25754730727922,9.15508472885989,0.581489576064633
0,5.38200522889562,6.56895355395802,1.82510660093707
0,5.06619231653431,9.34736132470048,0.419628908612239
0,5.19618224033182,10.0077493677822,0.296239283912791
0,5.3901182555609,7.34179370971281,1.60244169874829
0,2.66115078514175,3.11532739446894,2.34628626874994
0,3.6089388039836,4.57008253248203,3.63813338014595
0,5.43368385561592,9.28649763144468,0.123233932653579
0,5.44851940634639,7.09486797892423,1.36173021461093
0,4.80497320759184,7.09389671815855,0.561396570826114
0,4.8941673062377,6.40554393313072,1.53859596320413
0,5.43364351390255,7.34806608889603,1.75401509942277
0,5.17914149881935,6.11838051644647,1.00877085455073
0,5.14379438309765,6.39586069022359,1.577193517243
0,5.15596085501565,7.47754598046836,0.668909801221212
0,4.83120968234644,5.1961680962548,2.97454137723436
0,5.32283479399061,6.3880470021968,2.36271731485417
0,5.36354207256903,7.21018875587935,1.51337351228564
0,5.31311840649908,6.60969016795718,0.863832611629916
0,4.98069206449453,7.50143579996081,2.37638287013886
0,5.36647536105384,8.16647190372871,1.37812464236332
0,5.33473722433013,6.98202830605396,1.29760772528817
0,5.0605989253721,6.72470153393185,1.66922427129961
0,5.35888125539823,7.0719128217483,1.76044061202858
0,5.38094092262734,8.57589194295003,1.87637620994641
0,5.35802113151726,6.13699867146495,1.74877674662686
0,4.99677823743659,5.61972445719402,1.550124504326
0,5.19639397168869,5.06534202797519,1.5049345326869
0,5.41902912478478,7.76428290185268,1.13689052497754
0,5.42799947909561,8.07022901678926,1.3310594608124
0,5.11421645910852,5.62306897489721,0.983026848429971
0,2.94801030184352,1.96114191442975,1.06322775632368
0,5.2338030627126,8.00828984136095,1.65270341152438
0,4.7235082460152,6.91746573894785,1.83052745279903
0,4.64304317735628,6.71317423533594,3.50211216715241
0,5.4542202046061,9.19132081172719,0.551477413016114
0,5.40887899988021,8.3022334545938,0.094193915265172
0,3.69642201226188,4.40519346455733,3.1656873141573
0,5.0378361665035,6.14504627597354,1.7831446405106
0,5.19543465347575,8.76503400080698,0.469489097646417
0,5.42853688135148,8.98316311033903,0.609518178160226
0,2.66889280200854,3.76385364664333,3.40092004851074
0,2.25951878000178,2.72056024536308,3.14589575000155
0,5.20640636563132,8.24113653759335,2.1461421517768
0,5.21633585467251,6.98688998254597,1.60655715186406
0,5.11780127102003,7.29350850825288,0.684351677168194
0,5.25780014696391,7.03800695700897,0.291745739767557
0,2.35211374122856,2.99669822381668,3.34635461865751
0,4.64387959994607,6.87809620937615,0.73488099370756
